id,contrato,data_operacao,nascimento,idade,genero,bairro,cidade,estado,cep,telefone,cartao,email,ocupacao,empregador,operacao,valor_principal,parcelas,quantidade_parcelas,parcelas_pagas,quantidade_parcelas_pagas,taxa_contrato,valor_parcela,valor_bruto
03ab321d457a96d5f46393f447a6623eabe6f6de,5913552937241,2019-10-20,1977-08-11,45,Null,Independência,Lopes,Roraima,XXXXX051,Null,XXXXXXXXXX191913,XXXXXXais@rXXXXXXXXXXXX,Agrimensor,818e471716236f5ae1287deb965387660ddcaa61,Prod,25841.26,60,60,33,33,2.11005,763.34,45800.402
49e18fde7076621170dc3a12ead65a8604ca27d3,1625066812078,2019-04-17,1995-11-22,27,M,Boa Vista,Null,Bahia,XXXXX-645,XXXXXXXXXXXXX93-7417,XXXXXXXXXX367,Null,Político,2a2bd62e98293ecb458bd3247e7340c63db574f6,Refin,7912.13,90,90,13,13,2.63349,230.59,20753.1
b263c36a2c1741e8642919ddfe26dd17c3ba3984,6078320188788,2020-09-11,1991-01-04,Null,F,Grajaú,Santos,Tocantins,Null,XXXXXXXXXXXXX-9008,XXXXXXXXXX71489,XXXXXXXXXXl70@aXXXXXXXXXXXX,Agente comunitário de saúde,3301937afea82ebafe8e1a45ef0846b0efb0128b,Prod,22125.4,40,40,6,6,0.61798,626.01,25040.4
7cf9ebe6f665728bb3bb82694b81d8d266125585,1887529247104,2022-01-07,1995-10-15,27,F,Lagoinha,Barbosa do Amparo,Paraná,XXXXX-503,XXXXXXXXXXXXX3851,Null,Null,Modelista,59af5fb42aa337439dab9df5459c664adcd713c8,Prod,31412.49,40,40,6,6,2.31083,1211.82,48472.797
48f5091cb053e57a80ae942ba1f1b7ec6ce10362,4212614368490,2021-10-23,1980-10-18,42,F,Apolonia,Martins do Galho,Pará,XXXXX315,XXXXXXXXXXXXX8372,XXXXXXXXXX36,Null,Null,5ef3c2b6da6255b819e07084a3f81b63732d8efa,Prod,27671.21,40,40,10,10,2.21377,1049.85,41994.0
2e01218ec5e6fc02cd9858bf257452ef574233d7,7945484982165,2022-03-11,1978-11-12,44,Null,Conjunto Minas Caixa,Rocha Grande,Null,XXXXX-610,XXXXXXXXXXXXX6385,Null,XXXXXida@rXXXXXXXXXXXX,Null,cc00064e54ff7e7de97e126fa63e25fb63879579,Port + Refin,30068.3,40,40,6,6,2.4727,1192.31,47692.402
b7183d457a16d62473ee3cf223c4b89469e9820d,9121439285859,2022-08-18,1975-04-20,47,M,Cidade Nova,Cardoso da Praia,Acre,XXXXX098,Null,Null,XXXXXXXXXXota@mXXXXXXXXXXXX,Bedel,da3fbcf60f3378b244bfdae43c47e3166558919d,Prod,34374.54,60,60,12,12,4.96679,1805.84,108350.4
d98a52f5f5e52b78c44ae3b12f16600d084b4b6f,5206568026086,2019-03-10,1999-04-12,23,F,Vila Ecológica,Pereira,Sergipe,Null,XXXXXXXXXXXXX01-6427,Null,XXXXXXXXXXtos@mXXXXXXXXXXXX,Naturólogo,3301937afea82ebafe8e1a45ef0846b0efb0128b,Prod,41011.97,40,40,4,4,1.24404,1307.71,52308.4
0b069b999a6f173cdbcb79e1072864206c2b7018,2231711003396,2021-07-15,1988-01-20,35,F,Andiroba,Cunha,Acre,Null,XXXXXXXXXXXXX3022,XXXXXXXXXX399773,Null,Jogador de handebol,308459186d936579bdd499100a8c155756e068e9,Port + Refin,31329.17,40,40,8,8,0.92026,939.77,37590.8
b111f1cee607afd0a3610ce7141225dd90613705,0917952758142,2022-07-12,1984-09-11,38,F,Null,Silveira,Piauí,XXXXX646,Null,Null,"XXXXXXXdes@bXXXXXXXXXX, @yXXXXXXXXXXXX",Patologista oral,107ad871404a8cf6d24f61d98b887b1c24507fc7,Prod,22817.12,100,100,25,25,4.47381,1033.79,103379.0
17edf99d38052b306cb242199425139efb9e2300,3977802231321,2021-06-05,1998-04-15,24,F,Cônego Pinheiro 1ª Seção,Santos do Amparo,Roraima,XXXXX954,Null,Null,XXXXXXXXXXXXena@oXXXXXXXXXXX,Profissional de relações internacionais,daf65986636e3744c6f72df734b743cffefdd877,Prod,31714.54,40,40,22,22,1.02401,970.29,38811.598
fe2061fd89085779d1ebe79c1294a27e087903f2,7212526179211,2019-08-19,1985-09-27,37,F,Acaba Mundo,Fernandes do Galho,Null,XXXXX-597,XXXXXXXXXXXXX90 1610,Null,XXXXXXira@aXXXXXXXXXXXX,Degustador,bedd758187724857a3f46d765a996b68a5a281a5,Prod,37703.7,60,60,15,15,2.07289,1103.89,66233.4
82455de9f0e5f44ef28d280e8d1201b8a2848de2,5884076630355,2019-11-19,1979-02-13,44,F,Null,Barros Paulista,Acre,XXXXX-108,XXXXXXXXXXXXX-0928,XXXXXXXXXX928009,"XXXXXXo44@bXXXXXXXXXX, @yXXXXXXXXXXXX",Urologista,81b17649d6c3b6d6f82f4d570b48b860c2898f2e,Prod,41091.44,40,40,6,6,1.07911,1270.35,50814.0
5efae25e7748d94cb3596bb63efe0af1e3924428,2938512747411,2022-09-17,2001-10-22,Null,F,Álvaro Camargos,Santos,Pernambuco,XXXXX680,Null,XXXXXXXXXX193064,XXXXXXXXXoto@sXXXXXXXXXXXX,Capoeirista,c3ef0a807e878f5c9d5962f11cf708f191bc6cb8,Prod,15780.45,40,40,4,4,3.80767,774.61,30984.398
a3d77ba0e416ccf06b793a8ecefde9a726be7efe,6436865959575,2021-07-18,1998-01-28,25,M,Vila Santo Antônio,Ribeiro,Null,XXXXX329,XXXXXXXXXXXXX25-1410,Null,Null,Null,Null,Prod,24547.95,80,80,20,20,1.00509,448.03,35842.4
f80eb8312015e60fdf24e9c3e95a86598bc278d0,0492497023288,2021-07-31,1971-10-11,51,F,Barão Homem De Melo 1ª Seção,Null,Rio Grande do Norte,Null,XXXXXXXXXXXXX2-2922,Null,XXXXXr46@tXXXXXXXXXXXX,Maestro,a21d7d140c921c5e7020d9dff0a38d1622bb2916,Prod,16644.98,40,40,8,8,1.16504,522.96,20918.4
0833176a0a856bf0a08035d864d2ab7597752e59,3087470369599,2020-05-20,1987-09-10,35,F,Custodinha,Pereira da Serra,Null,Null,XXXXXXXXXXXXX64-3967,Null,XXXXXXXXXXXXXXugo@oXXXXXXXXXXX,Null,5510eb0185a59d005438068e8959a986a3c2a28a,Refin,16034.66,100,100,10,10,0.97506,251.75,25175.0
c5a4660c3e007b2fe3b276ce10216cfda1e5ccea,8734304671766,2019-06-17,1978-01-14,45,F,Vila Antena,Rocha,Acre,XXXXX201,XXXXXXXXXXXXX8856,XXXXXXXXXX5715,XXXXXXXXXXXXXXosa@rXXXXXXXXXXXX,DJ,Null,Prod,12079.48,80,80,16,16,2.13331,316.09,25287.2
7ef0c52c990431f567c262414227b8248e45d713,6823171449294,2022-05-15,1990-02-22,33,M,Vila Santa Monica 2ª Seção,Pereira,Ceará,XXXXX325,Null,Null,Null,Odontopediatra,c569e290d9c128e9754c0d69b4ef8df28d01ea1d,Port + Refin,19848.18,40,40,8,8,3.25863,894.94,35797.6
748d0a588c50246b1fdd2f8701fb181345343496,9649506283855,2022-06-18,2001-10-11,21,F,Grotinha,Null,Maranhão,XXXXX882,XXXXXXXXXXXXX39 2160,XXXXXXXXXX345857,"XXXXXa85@bXXXXXXXXXX, @yXXXXXXXXXXXX",Radialista programador,eae9267cadbc2c56f70831ef1029c8e79579ec76,Prod,14792.82,40,40,2,2,4.62393,818.16,32726.398
8ed2088978e8d2d0298382ed8410342dff26388f,4588032532462,2022-01-05,1999-08-05,23,M,Bandeirantes,Lopes de Barros,Ceará,XXXXX-525,XXXXXXXXXXXXX74-0261,Null,XXXe91@aXXXXXXXXXXXX,Cobaia Médica,cdb56f6c494214b5c6cfa536daf2e42929e430e9,Port + Refin,16491.64,90,90,62,62,2.37601,445.69,40112.1
e4223eba45fc8e6c607aee0bd2645ba73df833f7,4531916687062,2021-09-25,1995-07-31,27,M,Leticia,Carvalho Alegre,Pernambuco,XXXXX-735,XXXXXXXXXXXXX7-5076,XXXXXXXXXX03299,Null,Traumatologista,a4f8a6af859b7c1ce9b5f5f9a07aaa7bbc69e3cc,Prod,21371.32,80,80,12,12,1.45227,453.45,36276.0
43a28bc5b282a392b6c62d090063d614cdc7900b,4997526710000,2019-03-12,1996-03-31,26,F,Rio Branco,da Luz,Piauí,Null,Null,XXXXXXXXXX17769,XXXXXXXXXnes@gXXXXXXXX,Portuário,33901f1ededf9daf3985981b1b40242f85b007c1,Refin,1938.07,90,90,9,9,1.72708,42.59,3833.1
63da2100067a27dce667aa96ee8f038635664c3b,2172319375396,2022-05-01,1990-08-20,32,M,Canadá,Ramos,Santa Catarina,XXXXX-234,XXXXXXXXXXXXX50-7016,XXXXXXXXXX117129629,XXXXXXa31@pXXXXXXXXXXXX,Ilustrador,7c68f2111b4a9e292d395c3d82e230197056b977,Prod,28560.95,40,40,6,6,2.92443,1220.57,48822.797
945339e61dac407ec4b0f60ca18f600e13d018fd,6299627638527,2020-11-20,1984-12-31,Null,Null,Santa Rita De Cássia,Dias,Alagoas,XXXXX910,XXXXXXXXXXXXX9697,XXXXXXXXXX2860,XXXXXXXXXXXXXXXXiel@tXXXXXXXXXXXX,Null,fedd5b39374e3739b2af80f996ad44bddfaffe91,Refin,10720.56,40,40,8,8,0.43068,292.34,11693.6
e1a431f5c1fc7c852997a3d96b2aae74d17b8db7,9079329914139,2021-11-05,1995-10-26,Null,Null,Monte Azul,Duarte,Ceará,XXXXX960,Null,XXXXXXXXXX771100,Null,Maquinista,Null,Port + Refin,39322.64,80,80,12,12,2.06765,1009.4,80752.0
023ca9e28373fd92303552a7a1f6f5eb193b6cd7,2811905819226,2019-08-24,1990-01-22,33,F,Bonfim,Null,Alagoas,XXXXX-240,Null,XXXXXXXXXX70781,"XXXXXXXXXXa60@bXXXXXXXXXX, @yXXXXXXXXXXXX",Comerciante,Null,Port + Refin,37379.68,90,90,4,4,1.81259,845.39,76085.1
6f47f45ff5b888c4097e46589960db509ce199af,8989234073092,2021-05-23,1971-02-01,52,Null,Pousada Santo Antonio,da Rosa,Mato Grosso do Sul,XXXXX443,Null,XXXXXXXXXX714692,XXXXXXXXima@tXXXXXXXXXXXX,Ajudante de produção,40561cf754c05eda7f84e8a03686898328df5f41,Prod,21654.94,100,100,10,10,1.27543,384.44,38444.0
a1b30d2338bc46a687f58122db60cc71542ecda3,2762037569537,2021-09-01,1987-07-18,35,F,Vila Santa Rosa,Null,Null,Null,XXXXXXXXXXXXX3 3778,XXXXXXXXXX067894,Null,Null,93ec3b49b9ffe4c4ba3919689ee7f6ef5a9bf204,Prod,31736.28,60,60,9,9,2.0214,917.72,55063.2
29d6850454c45382e30016fa28a69971872fa797,9479122283805,2019-03-26,1986-01-22,37,F,Jardim Dos Comerciarios,Fogaça,Mato Grosso do Sul,XXXXX-395,Null,XXXXXXXXXX671189,Null,Produtor fonográfico,bfaa8e41cdc214da9e224ccb8025834980174b18,Refin,15182.58,40,40,6,6,2.07701,562.53,22501.201
188b3049df3ff1b2891c740fea46b89b761ede32,6037324831403,2020-12-13,1982-09-12,40,F,Cidade Nova,Null,Piauí,XXXXX162,XXXXXXXXXXXXX 9258,Null,Null,Engenheiro de projetos,Null,Refin,12587.12,40,40,6,6,0.61694,356.07,14242.801
9d4f3ca7eede76ab61774b865ead66ee85b931e3,9039539346267,2021-09-15,2000-07-13,22,F,Null,Fernandes,Null,XXXXX-312,XXXXXXXXXXXXX-7834,XXXXXXXXXX331868,XXXXa33@rXXXXXXXXXXXX,Paginador,Null,Prod,30785.22,90,90,13,13,1.81101,695.88,62629.2
492fb488d493711641d2aac082847bb52b4b68fd,8711193505570,2022-09-06,1986-11-29,36,F,Biquinhas,Fogaça,Mato Grosso,XXXXX701,Null,Null,XXXXXXXXXlva@mXXXXXXXXXXXX,Designer gráfico,cdb56f6c494214b5c6cfa536daf2e42929e430e9,Refin,11349.39,40,40,4,4,2.93027,485.48,19419.201
a7c95eb01b0612362ab236969b928be70ad61588,6031003379293,2021-11-02,1979-03-01,44,M,Vila Esplanada,Azevedo,Rio de Janeiro,XXXXX-266,XXXXXXXXXXXXX95 0518,XXXXXXXXXX188350,Null,Null,23ffdcef7f3476f46ca73e3c6a645b9dd6868f5b,Prod,15405.66,80,80,4,4,2.3483,428.72,34297.6
f45fd44a84b22a44da3e69f0e48922899e76555d,8974162037582,2020-12-05,1973-12-28,Null,M,Senhor Dos Passos,Null,Santa Catarina,Null,XXXXXXXXXXXXX 9703,XXXXXXXXXX366120,Null,Engenheiro de produção agroindustrial,e6b30eaf174237aff07da4bc854939a0aa1520d2,Refin,11560.23,40,40,22,22,0.48963,318.93,12757.199
2c7818995adc810197ffd9f1f952f47839fa4b34,8155660561087,2019-02-09,1985-09-11,Null,F,Vila Satélite,Null,Alagoas,XXXXX237,Null,XXXXXXXXXX36185,Null,Seringueiro,d1b3dbbe074341a0905b32ea8a5b34f1b7aadc4e,Port + Refin,26796.97,120,120,30,30,2.72723,760.95,91314.0
28903b580462ac387e0bb593e1a95390ce4b1afe,1609077179504,2022-01-06,1985-06-20,37,M,Null,Fernandes de Gomes,Tocantins,XXXXX-899,XXXXXXXXXXXXX 1191,Null,XXXXXXsta@mXXXXXXXXXXXX,Físico,ab6d9285d4c1dd15c2b6b96dda20c40901ab19ad,Port + Refin,9218.02,100,100,15,15,3.58504,340.53,34053.0
434fae8db20f5b6b7f4e5af51b08f73f8bea5233,5713648720425,2022-09-23,1998-04-26,24,M,Vila Boa Vista,Rodrigues,Paraná,XXXXX-282,XXXXXXXXXXXXX86-6145,XXXXXXXXXX155608,XXn95@mXXXXXXXXXXXX,Açougueiro,Null,Prod,25721.78,40,40,2,2,2.52482,1028.95,41158.0
14b1de661249be73b589adbf58efe90d2342ac77,3841723794329,2019-02-24,1985-07-12,Null,F,Null,da Rosa,Rio Grande do Norte,XXXXX415,Null,XXXXXXXXXX342283,XXXXXXXaes@oXXXXXXXXXXX,Engenheiro acústico,Null,Prod,19957.77,120,120,18,18,2.31778,494.18,59301.598
db81453759b471a0af06f78183a4c48b26fcba72,3596333654289,2021-08-26,1986-10-21,36,Null,Centro,Pires Paulista,Amazonas,Null,XXXXXXXXXXXXX3-8550,XXXXXXXXXX480777,XXXXXeia@sXXXXXXXXXXXX,Null,a559f988166e0eea9b96a5fb33fba20811fafa92,Prod,28514.9,40,40,10,10,1.80993,1007.95,40318.0
1855f0b0b4ad8352b277e6efc2b83b84d288b909,8881852734877,2020-10-27,1982-08-21,40,Null,Havaí,Null,Rondônia,XXXXX-951,Null,XXXXXXXXXX844838,XXXo02@sXXXXXXXXXXXX,Psiquiatra,b0afbbe7212c89ef2dd6c9d6cfa2a055fbab8d77,Port + Refin,15293.57,60,60,42,42,0.77732,319.91,19194.6
fcc2245954aa551b3cb0f18511e9ab9ddfc6ac62,6605235290062,2021-09-16,1982-05-10,40,Null,Jardim Atlântico,Cavalcanti,Espírito Santo,XXXXX-468,XXXXXXXXXXXXX 5407,XXXXXXXXXX81,XXXXn93@mXXXXXXXXXXXX,Prático,Null,Refin,11800.81,100,100,15,15,2.25091,297.77,29776.998
29ffa46c6334c90a1d330310f2949a3ff0be9f0e,7205228205494,2020-07-04,1993-01-01,30,F,Aeroporto,Viana,Rondônia,XXXXX772,XXXXXXXXXXXXX07-0187,XXXXXXXXXX175116313,Null,Corretor de seguros,5a66c90416a61ad33af6c672ecb2eec8208be6d1,Refin,16053.86,40,40,8,8,0.7033,461.84,18473.6
e7b1cca9e81bff5f27acde2e5a6ae24b5fa10a68,1031389905142,2019-03-31,1980-04-09,42,M,Novo Glória,da Paz de Minas,São Paulo,XXXXX087,XXXXXXXXXXXXX-5186,XXXXXXXXXX008,XXXXXira@pXXXXXXXXXXXX,Baixista,4e219db7c52579ce94b711526739ddfde14c8e1c,Prod,21505.5,60,60,0,0,1.77296,585.13,35107.8
2d7ff8f45fff47e589abba8f7973ede413c17931,2696499707216,2020-05-31,1991-04-29,31,M,Null,Nogueira da Mata,Null,XXXXX451,XXXXXXXXXXXXX6048,XXXXXXXXXX091013,Null,Telegrafista,cedb87220c4d0e3c026ca6e5f61fe836b8c722e9,Port + Refin,27891.79,120,120,18,18,1.30412,461.15,55338.0
e088327f6cf50b133e07150595c05f5f5ad63ef6,8707145390677,2020-08-05,1985-01-11,38,Null,Null,Araújo da Praia,Santa Catarina,XXXXX-522,XXXXXXXXXXXXX-9216,XXXXXXXXXX38778,Null,Ventríloquo,Null,Prod,46446.24,40,40,8,8,0.82613,1368.3,54732.0
7777c56fd039e7f6c9b86db2a126a0dedfa732db,5727988493420,2019-08-08,1972-03-09,51,M,Pompéia,Correia,Pará,XXXXX058,XXXXXXXXXXXXX1373,XXXXXXXXXX1430,Null,Corredor de atletismo,Null,Prod,40799.68,40,40,10,10,1.44994,1351.38,54055.2
38e7f9b5a62f16aa8dd28a9cd637b55e29a48c51,2820962358685,2022-04-17,1991-03-04,Null,F,Vila Satélite,Silveira do Amparo,Distrito Federal,XXXXX396,Null,Null,XXXXXXXXXujo@mXXXXXXXXXXXX,Profissional de recursos humanos,0b04b70afa428d994a665016be19bfbcddf7f4da,Port + Refin,29172.93,40,40,4,4,3.99142,1472.04,58881.6
28196e08d4217f9dd1c2afcf4e2dac52e2644bb8,8478256502371,2022-05-14,1973-09-12,49,F,Null,da Cruz,Sergipe,XXXXX162,XXXXXXXXXXXXX95-7204,XXXXXXXXXX649988,XXXXXXXXXXXXira@mXXXXXXXXXXXX,Corretor de imóveis,311be4930a4e30b9d84035d701001e959ef749e4,Refin,7511.37,120,120,24,24,3.71983,282.94,33952.8
26d75fe4aa21a2bfe4075a84b27be58842734ca8,4445119607881,2021-10-21,1992-08-07,30,Null,Salgado Filho,Caldeira das Pedras,Maranhão,XXXXX719,XXXXXXXXXXXXX10 0171,Null,XXXXXXXXXlla@sXXXXXXXXXXXX,Ufólogo,b496f5dadcce2b7534a05b04d1bb6f940cc055a9,Prod,12261.94,60,60,12,12,2.44653,391.9,23514.0
c045979b415374cced4544515bca096a3eb9074f,0486792969242,2020-04-07,1996-07-21,26,F,Jardim Dos Comerciarios,Freitas de Sales,Piauí,XXXXX-215,XXXXXXXXXXXXX0-9015,XXXXXXXXXX97853,Null,Cirurgião bucal,ef91f18eb36a4b26ecbc62b4c41eb6a32f715a3c,Prod,31844.24,90,90,13,13,1.0678,552.41,49716.9
9c443cbb2769b0aa313598860a715f3dafd58655,2650288202313,2021-06-28,1986-08-25,36,M,Betânia,Ribeiro de Mendes,Goiás,XXXXX-206,XXXXXXXXXXXXX4-1875,Null,XXXXXata@rXXXXXXXXXXXX,Null,c816f7c0bdd4fbacfeeb4183d28ad8c369fe4cad,Prod,22415.78,100,100,15,15,1.57715,447.01,44701.0
7fe3119eadcffb9e5bde0733b9417275f74e447e,3036299056616,2021-10-21,1975-07-11,47,F,Vila Ipiranga,Nunes do Oeste,Rondônia,XXXXX-178,Null,XXXXXXXXXX63410,Null,Homeopata,Null,Refin,4944.36,90,90,13,13,2.14871,124.63,11216.7
20c943fcb7912b6a373a92d5ed84ee73bc6a8a1c,0290226832725,2019-03-29,1999-05-28,23,F,Custodinha,Vieira Alegre,Null,Null,Null,Null,XXXXpaz@gXXXXXXXX,Null,17470afada93f441a70c1deb70202c3a2dd49844,Prod,45418.2,40,40,10,10,1.35022,1477.01,59080.4
2011a107230ae36d5621482da995f4c4ae901692,2484284309222,2019-02-24,1978-07-22,44,F,Mantiqueira,Barros da Serra,Mato Grosso do Sul,Null,XXXXXXXXXXXXX-4625,Null,XXXXh61@pXXXXXXXXXXXX,Engenheiro mecatrônico,a5b9ebcbfa9e2726a29c615f5ab52c00e02a75f4,Prod,46000.89,60,60,9,9,1.69881,1228.64,73718.4
26509235b903b172d256c8c07ffe0bcfe03a341e,5089222215350,2022-10-12,1982-08-16,40,F,Conjunto Serra Verde,Null,Sergipe,Null,XXXXXXXXXXXXX 5287,Null,XXXXo01@mXXXXXXXXXXXX,Oceanógrafo,Null,Refin,17880.35,60,60,54,54,3.1729,670.19,40211.4
22b9a8bf3f938ab3da8278a4ee46d4831afd67ca,1589914184611,2019-11-29,2000-02-04,23,M,Vila Paraíso,Teixeira de Goiás,Amapá,XXXXX-173,XXXXXXXXXXXXX70-8673,XXXXXXXXXX575901,XXXo51@mXXXXXXXXXXXX,Notário,12fe0b962e15e788913313744b5a84179f0397e6,Port + Refin,30014.43,60,60,15,15,1.13108,691.76,41505.6
f13a11755db6480d40a4b117a1d80a1559abb7f5,5137706670895,2021-07-03,1971-06-18,51,M,Vila Madre Gertrudes 1ª Seção,Pereira do Norte,Piauí,XXXXX624,Null,XXXXXXXXXX886659,Null,Ginecologista,327ee67c2be3ac55a037ad5b2d6f431fe2d6de03,Prod,36692.14,40,40,4,4,1.03821,1125.61,45024.4
503e93e23129f61bd7eb1a0c9c655e46e34b7f01,8504420895250,2022-04-01,1980-08-28,Null,M,Barroca,Campos,Bahia,XXXXX-255,XXXXXXXXXXXXX-7872,XXXXXXXXXX295973860,Null,Levantador de peso,5510eb0185a59d005438068e8959a986a3c2a28a,Prod,15860.18,80,80,16,16,4.42187,724.04,57923.2
67af91a49ac5d9676eab04059b108ad65881419d,5343304433934,2019-11-22,1994-11-23,28,Null,Null,da Mata da Serra,Mato Grosso do Sul,XXXXX-438,XXXXXXXXXXXXX6175,Null,XXXnha@rXXXXXXXXXXXX,Ferroviário,d50ec0052a5ae45ec94d892d63728dcebe8dc5b9,Refin,1829.39,120,120,108,108,1.3719,31.17,3740.4
2afbe04b2a19a6e9a456d9edcf6506c61e2fc1fb,6550798165206,2021-02-10,1987-08-13,35,M,Maria Helena,Null,Piauí,XXXXX100,Null,XXXXXXXXXX29,XXXXXXXXXXXXXXXXXXXoso@oXXXXXXXXXXX,Jornalista,1747c845ad486d572260a387c917c2929d5533c1,Prod,37143.06,40,40,10,10,0.41371,1009.44,40377.6
7301f4bcaf42843012453e43d82e27a7aaf9cb12,9228654272814,2021-03-11,1987-12-01,35,M,São Lucas,Null,Acre,XXXXX-794,Null,XXXXXXXXXX71147,Null,Telefonista,e53d5342e82e0ce6061bc3aaea1a986f24a73613,Prod,29197.57,90,90,0,0,0.89019,472.91,42561.9
115c2ba0733010a236c35bb2763a954c745e2cd9,5888834464183,2019-06-05,1984-06-15,Null,F,Universo,Costa de Cunha,Piauí,XXXXX-915,Null,Null,XXXXXXa82@rXXXXXXXXXXXX,Null,Null,Refin,19217.55,90,90,22,22,1.90177,447.61,40284.9
98e2b1f5bcc544e5894aa2f1cf3dea90a808c951,6940392454828,2021-02-08,1971-12-23,51,F,Juliana,Null,Pernambuco,XXXXX854,Null,Null,"XXXXXXXXXXXedo@bXXXXXXXXXX, @yXXXXXXXXXXXX",Null,Null,Prod,49529.35,40,40,4,4,0.61943,1401.77,56070.8
2e5e57db36b35717528e0bb0004759d8e23707a3,8345546138988,2022-05-13,1977-12-03,45,F,Vila Tirol,Null,Amazonas,XXXXX498,Null,XXXXXXXXXX287789,Null,Engenheiro ambiental,19da0720466871c7dcf25b414aeab09da69ce53e,Refin,19305.22,90,90,9,9,3.49863,707.45,63670.5
